size,q,eps,count,num_samples,num_iterations,time_elapsed
7,15.0,30.0,1.4486222103553077e55,392,662,0.9824227602666666
7,14.0,30.0,2.9082313600218322e53,392,721,1.1713035175333333
7,13.0,30.0,4.64519354358813e51,392,803,1.4276134913666667
7,12.0,30.0,4.637913718572295e49,392,927,1.3585506316
7,11.0,30.0,3.990121142312499e47,392,1133,1.4742507783999999
7,10.0,30.0,1.5575330454600464e45,392,1545,1.7718476207333334
7,9.0,30.0,3.412427083133581e42,392,2781,2.9267343892
7,8.0,30.0,2.9239869241343755e39,392,3129,2.9980716298333334
7,7.0,30.0,7.754667029675233e35,392,3576,2.9745510563
7,6.0,30.0,3.870544991469475e31,392,4172,3.182931582233333
7,5.0,30.0,2.834353800813414e26,392,5007,3.9905812568
7,4.0,30.0,3.190659707891544e19,392,6258,4.428703287133334
7,3.0,30.0,2.7134446242e10,392,8345,5.497378398266666
7,2.0,30.0,1.0,392,12517,8.689113771233334
