size,q,count,time_elapsed
2,2,2,4.541384220123291
2,3,18,4.458533525466919
2,4,84,4.653657674789429
2,5,260,4.547205686569214
2,6,629,5.224370002746582
2,7,1301,4.920037508010864
2,8,2406,5.868579864501953
2,9,4102,5.225095748901367
2,10,6579,5.346157789230347
2,11,9990,5.1474103927612305
2,12,14648,4.961426734924316
2,13,20769,5.011988162994385
2,14,28549,5.867035150527954
2,15,38508,5.391880989074707
3,2,2,4.74999475479126
3,3,245,4.615642309188843
3,4,9670,4.814898490905762
3,5,142074,5.362643718719482
3,6,1167863,5.7330358028411865
3,7,6456577,5.484138250350952
3,8,27477590,5.397794246673584
3,9,94893224,5.996093034744263
3,10,284872000,5.860432863235474
3,11,753567070,6.211224317550659
3,12,1827429087,6.165403604507446
3,13,4074036569,6.524658441543579
3,14,8510863679,7.074770450592041
3,15,16847494699,6.552978277206421
4,2,2,4.690232038497925
4,3,9211,4.687905311584473
4,4,5901285,5.6997902393341064
4,5,851135253,5.480284929275513
4,6,38068057091,5.063287258148193
4,7,848569649164,5.714102506637573
4,8,11640116186892,5.533545017242432
4,9,111522167045859,5.690515518188477
4,10,806540000000000,6.16812539100647
4,11,4719772452666678,6.263778209686279
4,12,23144181296998448,6.183620452880859
4,13,97243983266029904,6.656094312667847
4,14,369707579093140800,6.866465330123901
4,15,1258152346903381248,7.7935872077941895
5,2,0,4.5845184326171875
5,3,1694577,5.183399200439453
5,4,40532396646,4.606857538223267
5,5,53048133850097,5.258858680725098
5,6,21607018902746576,5.492588520050049
5,7,3087139962466446848,5.6136250495910645
5,8,182925588080438575104,5.937570333480835
5,9,6585996139085055393792,6.037668704986572
5,10,151940000000000007340032,6.151068925857544
5,11,2433041566647293237526528,6.243834733963013
5,12,29357231710045798379028480,6.643930912017822
5,13,288720072168290707136577536,6.965531826019287
5,14,2352717039912976154907115520,7.4744484424591064
5,15,16117820722087229874082152448,7.344203233718872
